gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000018334.19,Ksr1,184,123,985,385,727,394
ENSMUSG00000018339.13,Gpx3,155,200,456,163,195,337
ENSMUSG00000018340.14,Anxa6,652,740,2105,897,1191,1520
ENSMUSG00000018341.13,Il12rb2,3,0,16,6,4,1
ENSMUSG00000018347.17,Zkscan6,119,113,317,147,268,164
ENSMUSG00000018362.15,Kpna2,1659,434,6650,1578,2854,1356
ENSMUSG00000018363.18,Smurf2,231,160,411,216,342,306
ENSMUSG00000018372.14,Cep95,342,242,658,321,480,347
ENSMUSG00000018377.11,Vezf1,359,253,805,436,592,489
ENSMUSG00000018378.14,Cuedc1,47,100,272,172,174,252
ENSMUSG00000018379.18,Srsf1,7351,4985,16520,5895,9334,6849
ENSMUSG00000018381.16,Abi3,131,146,302,71,100,107
ENSMUSG00000018387.13,Shroom1,18,24,48,36,53,35
ENSMUSG00000018395.20,Kif3a,191,191,561,160,270,242
ENSMUSG00000018398.19,Septin8,2727,2067,7946,798,1457,1001
ENSMUSG00000018401.18,Mtmr4,453,334,1194,749,1326,699
ENSMUSG00000018405.8,Mrm1,707,524,1736,444,629,412
ENSMUSG00000018411.18,Mapt,5,3,13,1,3,5
ENSMUSG00000018412.17,Kansl1,382,151,993,517,983,410
ENSMUSG00000018415.15,Gid4,456,339,1195,430,709,518
ENSMUSG00000018417.15,Myo1b,86,75,303,138,162,215
ENSMUSG00000018425.19,Dhx40,351,255,857,367,540,367
ENSMUSG00000018427.9,Ypel2,19,27,91,61,63,75
ENSMUSG00000018428.16,Akap1,347,181,1462,360,620,320
ENSMUSG00000018433.15,Nol11,902,473,1502,733,1191,751
ENSMUSG00000018442.14,Derl2,483,439,1319,490,720,628
ENSMUSG00000018446.9,C1qbp,2646,2707,7018,2115,3406,2764
ENSMUSG00000018449.13,Rpain,752,748,1399,493,655,518
ENSMUSG00000018451.8,6330403K07Rik,16,39,73,32,59,56
ENSMUSG00000018459.16,Slc13a3,54,95,487,101,144,131
ENSMUSG00000018470.9,Kcnab3,2,0,6,22,41,15
ENSMUSG00000018474.19,Chd3,35,83,281,109,188,158
ENSMUSG00000018476.8,Kdm6b,133,139,788,508,879,464
ENSMUSG00000018479.13,Chct1,2,2,1,0,0,0
ENSMUSG00000018481.10,Appbp2,556,346,1207,559,883,746
ENSMUSG00000018486.3,Wnt9b,0,0,3,1,3,0
ENSMUSG00000018500.3,Adora2b,3,4,5,44,83,74
ENSMUSG00000018501.18,Ncor1,904,687,3280,1586,3119,1773
